image,success,wheel_detections,keypoints_estimated,avg_confidence,quality_score,review_priority,out_of_frame_count,warnings,error
000014_jpg.rf.8d5daf758d1cc7eea9f387917f91c989.jpg,True,2,5,0.8837,0.8837,LOW,0,,
000014_side_profile_car_review_jpg.rf.b6cedaeff543e6312aa352a9f6f39b5c.jpg,True,2,5,0.8930,0.8930,LOW,0,,
000015_car_side_view_jpg.rf.e47cc03d393aaa91891b1a6b0b9a4cce.jpg,True,2,5,0.7830,0.2130,HIGH,6,phase1_low_confidence: one or more Phase 1 keypoints below threshold | non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000015_jpg.rf.e3fd9030bd01abcf889d9860553b0c6a.jpg,True,2,5,0.8700,0.8300,LOW,2,,
000015_suv_side_profile_studio_shot_jpg.rf.dc51c95ba19bf03ddbba3254df30f26a.jpg,True,2,5,0.8652,0.8452,LOW,1,,
000015_suv_side_view_press_release_jpg.rf.6d6a7e4bdec5e8d40a23744525c1cba4.jpg,True,2,5,0.8997,0.8997,LOW,0,,
000016_jpg.rf.c55048b990406f8b735a2aa5f8089bae.jpg,True,2,5,0.8593,0.8393,LOW,1,,
000017_car_side_view_white_background_jpg.rf.d3702f52420a3b3a657c903022634c3d.jpg,True,2,5,0.8143,0.2843,HIGH,4,phase1_low_confidence: one or more Phase 1 keypoints below threshold | non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000017_jpg.rf.bc7457a48f6e2ea49e46e31ec8b71405.jpg,True,2,5,0.8036,0.6036,HIGH,0,phase1_low_confidence: one or more Phase 1 keypoints below threshold,
000017_side_view_car_review_jpg.rf.de2dcab52130ac5965c89d7f1dd7b4b7.jpg,True,2,5,0.7459,0.5459,HIGH,0,phase1_low_confidence: one or more Phase 1 keypoints below threshold,
000018_suv_side_profile_studio_shot_jpg.rf.65d41c7d4a94e8de8708ea8f57cbaa0b.jpg,True,2,5,0.8996,0.5896,HIGH,3,non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000018_suv_side_view_white_background_jpg.rf.adde8a20a7a6cc80ca9f9ec5ca4faa8d.jpg,True,2,5,0.8342,0.8342,LOW,0,,
000019_jpg.rf.ecc0b8adc3b12adb9e8e43f874728533.jpg,True,2,5,0.8645,0.8645,LOW,0,,
000019_side_view_car_review_jpg.rf.4f1687e2dc47ecb57cdb34dffca989d1.jpg,True,2,5,0.8588,0.8588,LOW,0,,
000019_suv_side_view_street_jpg.rf.e995fb8d136aa46a1f6c8a682babfba6.jpg,True,2,5,0.8038,0.6038,HIGH,0,phase1_low_confidence: one or more Phase 1 keypoints below threshold,
000021_car_side_view_white_background_jpg.rf.a77a86ea105ad68a05b8cfbfe369c9fc.jpg,True,2,5,0.8324,0.8324,LOW,0,,
000021_suv_side_view_white_background_jpg.rf.d18d0f470327c331a8978bb8259f74f0.jpg,True,2,5,0.8607,0.8607,LOW,0,,
000023_jpg.rf.7c712b97d4cf1ca2cc446c071f51d683.jpg,True,2,5,0.8971,0.8771,LOW,1,,
000023_suv_side_profile_studio_shot_jpg.rf.40fd6250099a542ba223ec3f5266f292.jpg,True,2,5,0.9028,0.8828,LOW,1,,
000024_jpg.rf.cf9bb4deaede01832b4bb4bad101e853.jpg,True,2,5,0.8949,0.8949,LOW,0,,
000025_jpg.rf.93010528cf2ed52f0121a7baa71493be.jpg,True,2,5,0.8837,0.5537,HIGH,4,non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000026_jpg.rf.0bd78e746048d549e33601a704c43f10.jpg,True,2,5,0.8542,0.8542,LOW,0,,
000026_suv_side_profile_studio_shot_jpg.rf.cde87c8898ebefe06c8cab67ec206844.jpg,True,2,5,0.9063,0.8863,LOW,1,,
000027_jpg.rf.55b0116e78a8be92321d3009016fa4f3.jpg,True,2,5,0.8949,0.5849,HIGH,3,non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000028_jpg.rf.d80c0095a474cf0487d63db9cdbe5d90.jpg,True,2,5,0.8877,0.8477,LOW,2,,
000029_jpg.rf.34f2e2e8344cb88fb54733d543369113.jpg,True,2,5,0.7918,0.4218,HIGH,6,non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000030_jpg.rf.51873493fb439825403fd92e9b423009.jpg,True,2,5,0.8585,0.5285,HIGH,4,non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000032_jpg.rf.4acb7f2206168e018c4551368b581816.jpg,True,2,5,0.8945,0.8945,LOW,0,,
000033_jpg.rf.a528e3e38a02d9e010ef29f85326bb76.jpg,True,2,5,0.8631,0.8231,LOW,2,,
000033_sedan_side_view_press_release_jpg.rf.29e68f160efe44b68d07a8d0c786bc58.jpg,True,2,5,0.8929,0.5829,HIGH,3,non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000033_suv_side_view_white_background_jpg.rf.c9bc9ea98e163f9f6f8c3259a62b217b.jpg,True,2,5,0.9158,0.9158,LOW,0,,
000035_jpg.rf.d91d1b3aa07e196f892a2ea052d3910f.jpg,True,2,5,0.9134,0.6034,HIGH,3,non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000037_jpg.rf.dce0ff3c33ed340644fe694e83121413.jpg,True,2,5,0.8965,0.8765,LOW,1,,
000038_jpg.rf.90e001403dd7f34cb9c2e0a00bf2e2c8.jpg,True,2,5,0.8822,0.8822,LOW,0,,
000039_jpg.rf.3d68c7a1b0bbc2994fcab7ee2a04a7e9.jpg,True,2,5,0.8828,0.8628,LOW,1,,
